id,bws,predicted,sentence
667,0.672,1.0877785589500246,"When the CEO dropped his brownie on the calculator , was he trying to fudge the numbers ?"
2453,0.667,0.8312263530660768,A church welcomed all denominations but preferred tens and twenties .
2624,0.667,0.4346383541105686,"When those around King Arthur 's table had insomnia , there were a lot of sleepless knights ."
3391,0.639,0.8512526797527311,Did you hear about the guy whose whole left side was cut off ? He 's all right now .
1045,0.633,0.6239472939164712,He bought a plate with four corners so he could have a square meal .
3576,0.631,0.7438386421829228,"Before a plumber retired , he took the final plunge ."
627,0.625,1.6329299255519492,"The dentist 's alibi was full of holes , so the police performed a cavity search ."
586,0.625,0.20336234942415132,What did the grape say when it got stepped on ? Nothing - but it let out a little whine .
3274,0.593,0.47154783907134046,"A sign at a cemetery reads , 'No Trespassing , Violators Will Face Grave Charges ' ."
346,0.587,0.23137312094819965,Never lie to an x-ray technician . They can see right through you .
3038,0.586,1.357014498932831,"I finally found a spotter at the gym , it 's like a huge weight has been lifted off my shoulders ."
3204,0.571,0.8416791009628171,"She was only a Bricklayer 's daughter , but she was certainly stacked ."
2852,0.567,0.9600160518522185,OLD PILOTS never die they just go to a higher plane .
1887,0.567,0.9749819456592579,"OLD ELECTRICIANS never die , they just ca n't make connections"
2241,0.564,1.592193085521795,She became an art dealer because she wanted more Monet .
1735,0.556,0.13434415731849597,A letter carrier career is a mail dominated profession .
1042,0.552,0.5100944002914152,I keep reading 'The Lord of the Rings ' over and over . I guess it 's just force of hobbit .
3714,0.547,0.9118627344301468,"I saw a beaver movie last night , it was the best dam movie I 've ever seen ."
2138,0.544,1.6500547615336547,"She was only a Dentist 's daughter , but everybody wanted to fill her cavity ."
1096,0.531,-0.1675105088363486,"Power corrupts , especially at the electric company ."
748,0.527,1.4039147164375063,Some people really enjoy blowing air out of their lungs - I 'm not a fan myself .
184,0.524,1.1349423790616802,"When the waiter told me they were out of corn I said , 'That really shucks . '"
3400,0.524,0.7805941866552472,"Old programmers never die , they just ca n't C as well ."
2532,0.524,1.1501929686545123,I bought me some of those new paper shirts . I do n't like them - they 're tearable .
1843,0.524,0.705848354933118,The painter was hospitalized due to too many strokes .
985,0.516,0.8114301974807223,I was struggling to figure out how lightning works then it struck me .
1728,0.509,1.1549953658530194,A cat ate some cheese and waited for a mouse with baited breath .
1860,0.508,0.28125570224840607,If an animal looses its tail it should shop at a retail store .
2714,0.5,0.802635812063131,"A fisherman tried boxing , but he only threw hooks ."
1442,0.492,1.0364754530686726,I was arrested after my therapist suggested I take something for my kleptomania .
2743,0.492,0.7711185863365351,Some burglars are always looking for windows of opportunity .
3979,0.492,1.9754896820056573,"Waiter , I 'll have my bill now . - How did you find your steak , sir ? - Oh , I just moved the potato and there it was ."
955,0.484,0.7308327052716392,"If you sing while playing baseball , you wo n't get a good pitch ."
3680,0.484,0.05718974967073903,"OLD WEATHERMEN never die , they reign forever ."
1890,0.484,0.7600433210525405,A skier retired because he was going downhill .
1078,0.484,1.2066781872787844,"Last week I was diagnosed with insomnia , and now I 'm just so tired of it ."
205,0.481,1.5040163271488094,"The parsley farmer could n't pay his child support , so the courts garnished his wages ."
620,0.475,1.0469468596160176,"I started to work at a seafood buffet , but then I pulled a mussel ."
3312,0.475,0.06057585098903058,When I suffered a groin injury I became quite testy .
2820,0.474,0.5345629911181584,The man brought an umbrella with him into the ice cream store because he heard there was a chance of sprinkles .
2281,0.474,1.550432278742814,"Waiter , there 's a fly in my soup ! ''No , sir , that is an essential bee vitamin . ''"
1741,0.469,0.1709975968033538,Pencil sharpeners have a tough life - they live off tips .
2325,0.467,0.2629293648789077,"She was only a Porchclimber 's daughter , but you should see her stoop"
2282,0.467,0.33361921994051835,"I am not 40 , I 'm 18 with 22 years experience"
2234,0.467,1.5093100174762117,Why are all businessmen fat ? Must be all the inflation .
3470,0.464,-0.029688655091378247,"OLD SCOTSMEN never die , but they can be kilt ."
162,0.46,0.6230218391324016,"He was trying to sell me new windows , but his motivations were transparent ."
3998,0.46,0.2443156480618933,Marine biologists never make mistakes on porpoise .
296,0.458,0.475800388227343,OLD MUFFLERS never die they just get exhausted .
606,0.458,0.6134727270802919,Bring me a rubber band and make it snappy !
2871,0.458,0.19344705942486873,We spent all day debating about housefires . It was quite a heated argument .
3951,0.455,-0.7201517724456157,OLD TANNERS never die they just go into hiding .
3700,0.455,0.20394834358231645,Before he was hired as a short order cook they grilled him .
1998,0.452,1.3527879987013125,A doctor drank while putting on patients ' casts . He was soon plastered .
307,0.452,0.5425919917140052,A tire store loves a chance to Roll out a new product .
1454,0.452,0.7689774752105654,"A husband and wife argued over the weather , but it soon blew over ."
2355,0.446,0.6889202954581448,"A cat found a mysterious sweater , but the mystery was soon unravelled ."
1647,0.443,0.39465706306248327,She said she was n't pregnant but contractions speak louder then words .
3179,0.443,0.309787211928937,"My mate swallowed a cordless vacuum cleaner , they took him to hospital and he is picking up nicely ."
125,0.443,-0.37038104491364643,The boating store had its best sail ever .
17,0.443,1.0049923163537506,I went to an invisible fairground but did n't think it was very good . I just could n't see the attraction .
1521,0.439,0.3471087364101704,"Five brothers wanted to buy a horse , so they all had to pony up ."
1593,0.433,0.7667381666479501,Wheaties near the body suggested that police look for a cereal killer .
2915,0.433,0.14003231500276883,"I do n't own any slaves . My wife has one , though ."
2958,0.433,0.9495966922111652,"Doctor , Doctor I feel like a pair of curtains - Well pull yourself together then . Next ."
1058,0.429,0.3202297750606496,"Q : What can a goose do , a duck ca n't , and a lawyer should ? A : Stick his bill up his ass"
2160,0.424,0.9281950218004099,A band of teenagers cruised past my neighbor 's house and pelted it with rotten tomatoes . Police described it as a drive-by fruiting .
2103,0.424,-0.14020460366855025,A student limped into class with a lame excuse .
68,0.419,-0.036630669309810515,When William joined the army he disliked the phrase 'fire at will ' .
1635,0.419,0.630381479988558,"When asked whether or not I was bilingual , I was about to say I knew sign language , but I figured it was sort of a mute point ."
3070,0.419,0.7825137743640445,"Cryptographers make terrible drummers . They just sit there , fascinated by all the cymbals ."
334,0.418,0.524834440576001,I suspected our new house guest was a terrorist . He asked to sleep on a blow up mattress .
2508,0.406,0.3874173158468388,There was a contest on a slippery rock slope . I won in a landslide .
2068,0.406,1.3555433358639661,A man stole a case of soap from the corner store . The police said he made a clean getaway .
3378,0.403,0.44398396258788886,I could n't figure out how to fasten my seatbelt . Then it clicked .
1166,0.4,-0.25379663182121176,The shy stripper could n't bare it on stage .
1798,0.4,0.7900893086918337,"After dating the goalie on the local team for a while , she realized he was a real keeper ."
3973,0.4,0.2886106774445513,Getting into the skunk selling business might make a lot of scents .
1872,0.397,0.6372982965122006,It 's quiet in a bowling alley because you can hear a pin drop .
3314,0.397,0.41676599757988053,The Procrastinators Anonymous meeting has been delayed until next Wednesday
1010,0.396,0.2717290526543295,Two podiatrists became arch rivals .
3607,0.394,0.33838584222107676,"I try wearing tight jeans , but I can never pull it off ."
1858,0.393,1.15329252427909,I made a really cheesy pun about quesadillas the other day .
570,0.393,0.009518795641781985,"If two wrongs do n't make a right , try three ."
3172,0.387,0.37363110195734234,Two silk worms had a race . They ended up in a tie .
1944,0.387,0.6904858127691536,"I used to be addicted to soap , but I 'm clean now ."
419,0.379,0.08992070325287821,"One day my friend asked me , how do you take such good care of your saxophone . I responded with tenor , love and care ."
255,0.377,1.9994106590147729,Hockey players are terrible chess players because they are always getting checked .
2659,0.377,0.6269962236324544,"The first duck would n't go in the water . The other duck said `` What are you , chicken ? '' ."
3231,0.377,0.6875551058524281,"Dr. Jekyll 's more successful second formula turned him into a world-class sprinter rather than a violent psychopath , proving that you can run but you ca n't always Hyde ."
585,0.373,0.26851545305034347,For class schedules Yoga instructors are flexible .
3504,0.368,1.224363057955867,"OLD STATISTICIANS never die , they just get broken down by age , sex and marital status ."
496,0.368,1.680639797971065,"OLD BAKERS never die , they just stop making lots of dough ."
1655,0.368,1.4989420210584476,A goat that ate office supplies was on a staple diet .
3880,0.368,0.8706887056088988,Two geologists were staring at a huge fissure in a cliff face and one was overheard to say 'It 's not my fault ' .
1615,0.368,-0.17189453938131516,Those who get up at sunrise have many ideas dawn on them .
3174,0.368,1.5932294226553534,The first guy to mass produce candies made a mint .
1545,0.368,1.5500144221827203,"Dutch shoes used to be made in a factory machine , until it got clogged up ."
3893,0.367,0.25943021301314295,She did n't marry the gardener . Too rough around the hedges .
3495,0.367,1.232433609696752,The first time I got hold of a hang glider I had to wing it .
1204,0.365,0.9771567136104455,An explosion at the meat packing plant caused quite a meatier shower .
2783,0.365,0.32176179891932544,"OLD ACADEMICIANS never die , they just lose their faculties"
1818,0.365,1.3120614367142558,I was talking during sex and my girlfriend hung up .
2627,0.358,0.6920211276298176,"She was only a Weatherman '' s daughter , but she sure had a warm front ."
711,0.357,0.17222564273387408,People who work at a mint make a lot of money .
764,0.356,0.001569708813820514,A good carpenter will do his work and then varnish without a trace .
